Rate,Review,Label
4,mình thề là mình không_thể cảm nổi đồ ăn_ở aeon mall mình đã thử ăn từ nhà_hàng đến food không có j ngon sushi ăn tanh may mua có mấy miếng chứ mua hộp to chắc vứt đi quảng_cáo thì rõ rầm_rộ xong khen lồng khen lộn lên nhìn rõ đẹp chỉ phù_hợp với sống ảo,-1
3.8,đôi_khi thèm lên là bất_chấp nắng_nóng phi và bao_giờ sang cũng chỉ đóng_đô ở quầy food court đồ ăn_giá_cả rẻ so với chất hy_vọng đồ của nhật thì vệ_sinh dc đảm shushi nhiều có cả quầy gà thì theo cảm_nhận là ngon và k bị bở như kem trà xanh ăn cảm_giác chất gần đây thì mình chuyển sang hâm_mộ quầy cơm đồ ăn bình_dân thôi nhưng thấy nấu hợp_khẩu đầy_đặn mà_k đắt hơn quán_xá lề_đường là,-1
3.8,ngõ treo biển cafe trứng đúng kiểu phố cổ hà_nội rất sâu và nhỏ tẹo vừa đủ người đi và đầu có_thể chạm trần tuy_nhiên quán thì nằm cách vài đông_nghẹt nên k ngồi cảm_nhận đc gì mấy nhưng chứng_tỏ cfe ngon hoặc quán nổi quá nên khách đông,-1
3.8,mình thấy địa_chỉ cafe giảng ở nguyễn_hữu huân chỉ ngon hồi ngày_xưa còn bây_giờ thì chán lẽ bây_giờ quán này tập_trung mạnh quảng_cáo nên không còn giữ được chất không rộng ngồi ở tầng hơi cả những lúc đông hay ngồi ở mình chẳng cảm_nhận thấy nơi này còn lưu_giữ chút gì của ngày có_chăng chỉ là cái viên phục_vụ nhanh nhưng cũng không kéo_lại được cảm_tình mình dành cho vì điều mình đánh_giá cao nhất ở một nhà_hàng là chất_lượng đồ thức uống của họ thì nơi này đã đánh mất,-1
2.2,mình là người hà_nội và cũng cực_kỳ khó_tính trong chuyện ăn nhà mình ở phố hàng ngay gần quán cafe cũ của giảng trước khi anh_em nhà họ tách ra làm về chất ngày_xưa ở giảng nguyễn_hữu huân vẫn giữ được nhưng về sau do quảng_cáo thêm nữa có anh con rể là phóng quan_hệ rộng nên có thêm nhiều khách nhưng điều quan_trọng nhất là chất_lượng thì đi đến quán giảng này nhưng mình cảm_giác là đang uống ở một nơi nào chứ không phải quán cafe giảng nổi_tiếng ở hà_nội khi bao_giờ mình quay lại quán khi tụ_tập bạn_bè hoặc dẫn khách ở xa tới hà mình toàn đưa lên giảng ở yên phụ cho đúng chất hà,-1
3.4,mình là một người khá khó_tính trong chuyện ăn_theo mọi người nhận_xét là sành nhà cũ của mình ở ngay hàng cách quán cũ của giảng số hàng một_khi giảng tách ra thành địa lúc đó mình mới đủ tuổi được uống cafe và từng đến cả quán mới để thưởng mình thích hương_vị của giảng ở nguyễn_hữu huân hồi đầu giờ quán thiên về quảng_cáo theo cảm_nhận của bản_thân mình thì mất đi phần_nào đó hương_vị của ngày_xưa tại mình khó rồi mình không còn quay lại đây khi giới_thiệu cho bạn_bè hoặc mỗi khi tụ mình toàn ra quán giảng ở yên phụ,-1
3.8,giá phù_hợp sinh_viên học cơ_mà lần đầu_tiên đến cơ_sở tạ quang_bửu thì thái_độ phục_vụ quá kém kiểu giống như muốn làm gì thì tự đi mà tao chỉ có việc đưa đồ ra đồ ăn thì ngon đấy nhưng phục_vụ chán lắm luôn,-1
1,mình đặt_hàng cốc từ quán xác_nhận đơn hàng mà đến giờ đã hẹn thấy mình gọi điện hỏi thì kêu huỷ đơn quá trong khi order yêu_cầu phải nhắn_tin để xác_nhận xong vẫn nhầm_lẫn loạn bó_tay,-1
1,mếu tìm tkấy,-1
4,hôm_nay đi dạo qua nổi hứng muốn thử kem ốc quế vì trước_nay chỉ mới thử kem_que ở tràng tiền viên thì không thân_thiện mà cứ chậm nhưng thất_vọng nhất là kem vị cacao vị ngọt lờ chẳng có vị cacao kem cũng rất rất nhanh kiểu mềm ốc quế không ăn cứng thể lại cho một cây kem ốc quế vị dở_tệ là không chấp_nhận đc đối_với một thương_hiệu nổi_tiếng như nói_chung từ nay mình sẽ chỉ trung_thành với bodega gần chất_lượng gấp đôi mà giá_thành rẻ gần nửa,-1
